path,size_bytes,modified,type
PAPER_TRADE_ASSIST_IMPLEMENTATION.md,8773,2026-01-03T04:06:48.557341,.md
BACKTEST_FIXES.md,6340,2025-12-30T09:44:53.887403,.md
check_backtest_results.sh,2101,2025-12-31T09:26:13.485277,.sh
AGENT_GENERATION_QUICKSTART.md,3199,2026-01-02T10:55:12.333178,.md
.pytest_cache/.DS_Store,6148,2025-12-18T18:52:24.881456,no_ext
.pytest_cache/CACHEDIR.TAG,191,2025-12-14T01:44:36.769335,.TAG
.pytest_cache/README.md,302,2025-12-14T01:44:36.768679,.md
.pytest_cache/.gitignore,37,2025-12-14T01:44:36.769182,no_ext
.pytest_cache/v/cache/nodeids,19432,2026-01-03T03:54:15.079736,no_ext
.pytest_cache/v/cache/lastfailed,3617,2026-01-03T03:54:15.085448,no_ext
web/index.html,18930,2026-01-03T04:40:33.131615,.html
web/styles.css,15981,2026-01-03T04:40:33.084527,.css
web/Dockerfile,289,2026-01-03T04:40:33.084911,no_ext
web/command-center.html,16557,2026-01-03T04:31:52.381105,.html
web/command-center.js,31926,2026-01-03T04:31:52.368988,.js
web/dashboard.css,6081,2026-01-03T03:49:57.057397,.css
web/dashboard.html,8053,2026-01-03T04:31:52.383358,.html
web/README.md,4642,2026-01-03T04:40:33.093682,.md
web/script.js,6299,2026-01-03T04:40:33.131598,.js
web/.dockerignore,16,2026-01-03T04:40:33.084937,no_ext
web/api-client.js,6442,2026-01-03T04:31:52.367712,.js
web/docker-compose.yml,469,2026-01-03T04:40:33.085164,.yml
web/nginx.conf,2408,2026-01-03T04:33:54.313073,.conf
web/dashboard.js,13900,2026-01-03T04:31:52.383363,.js
web/start.sh,542,2026-01-03T04:40:33.085174,.sh
web/QUICK_START.md,1410,2026-01-03T04:40:33.131529,.md
web/command-center.css,9459,2026-01-03T04:31:52.369746,.css
.ruff_cache/CACHEDIR.TAG,43,2025-12-31T14:56:19.460155,.TAG
.ruff_cache/.gitignore,35,2025-12-31T14:56:19.460369,no_ext
.ruff_cache/0.14.10/6020985547097267256,79,2026-01-03T03:54:16.189266,no_ext
.ruff_cache/0.14.10/7804302188433477233,5311,2026-01-03T03:54:16.189282,no_ext
.ruff_cache/0.14.9/8285293497762877004,79,2025-12-31T15:02:34.497259,no_ext
.ruff_cache/0.14.9/15415008396721244174,3416,2025-12-31T15:02:34.497259,no_ext
tests/test_execution_volatility_gating.py,7473,2025-12-30T09:44:53.941035,.py
tests/test_contracts.py,6670,2025-12-30T09:44:53.918405,.py
tests/test_edge_confirmation.py,14169,2025-12-30T09:44:53.940935,.py
tests/test_strategy_accounting.py,4155,2025-12-30T11:43:11.404819,.py
tests/test_streams_smoke.py,5085,2025-12-30T09:44:53.918370,.py
tests/test_no_trade_fix.py,5018,2025-12-30T09:44:53.952355,.py
tests/test_selector_anti_overfitting.py,8600,2026-01-03T03:20:42.300737,.py
tests/test_trade_diagnostics.py,2290,2026-01-03T04:38:01.343711,.py
tests/test_adaptive_maker_router.py,6243,2025-12-30T09:44:53.951494,.py
tests/.DS_Store,6148,2025-12-18T18:52:24.884821,no_ext
tests/test_process_factory_scorer.py,2895,2026-01-02T11:30:28.758845,.py
tests/test_process_factory_selector.py,3045,2026-01-02T11:30:28.758941,.py
tests/test_maker_execution.py,7441,2025-12-30T11:43:11.394351,.py
tests/test_edge_estimator.py,9527,2025-12-30T11:43:11.415012,.py
tests/test_no_trade_report_counters.py,5957,2025-12-18T18:52:36.545644,.py
tests/test_paper_trade_assist.py,4031,2026-01-03T04:06:48.557384,.py
tests/test_truth_layer_invariants.py,6929,2026-01-03T03:20:42.274965,.py
tests/test_impulse_filters.py,18490,2025-12-30T09:44:53.883792,.py
tests/test_adaptive_allocator.py,9066,2025-12-30T11:43:11.426229,.py
tests/test_impulse_improvements.py,7778,2025-12-14T02:47:53.979775,.py
tests/__init__.py,29,2025-12-14T01:33:48.068118,.py
tests/test_api_e2e.py,1310,2026-01-03T03:49:57.077863,.py
tests/test_no_trade_report.py,1827,2025-12-30T09:44:53.918267,.py
tests/test_execution_diagnostics.py,8301,2025-12-30T09:44:53.952373,.py
tests/test_decision_memory.py,3599,2025-12-30T09:44:53.918396,.py
tests/test_capital_pressure.py,4666,2025-12-30T09:44:53.918229,.py
tests/test_strategy_memory.py,11746,2025-12-30T09:44:53.887359,.py
tests/test_risk.py,2324,2025-12-14T01:33:48.068172,.py
tests/test_execution_retry_queue.py,6574,2025-12-18T18:52:36.545678,.py
tests/test_evaluation.py,5465,2025-12-30T11:43:11.404954,.py
tests/test_process_factory_storage.py,3295,2026-01-02T11:30:28.758900,.py
tests/test_backtest.py,8677,2025-12-30T09:44:53.911898,.py
tests/test_dynamic_risk.py,12334,2025-12-30T09:44:53.883284,.py
tests/test_regime.py,5241,2025-12-30T11:43:11.422397,.py
tests/test_idempotency_resilience.py,7518,2026-01-03T03:20:42.300749,.py
tests/test_process_factory_schemas.py,2729,2026-01-02T11:30:28.758857,.py
tests/test_maker_retry_queue.py,8793,2025-12-30T09:44:53.944972,.py
tests/test_api_routers.py,3962,2026-01-03T04:24:37.377959,.py
tests/test_config.py,1223,2025-12-14T01:33:48.068144,.py
tests/test_truth_layer.py,4697,2025-12-30T09:44:53.918289,.py
tests/test_density.py,2670,2025-12-30T09:44:53.918386,.py
tests/test_paper_broker_maker_fill_model.py,8449,2025-12-18T18:52:36.545663,.py
tests/test_impulse_precision.py,7405,2025-12-30T11:43:11.395531,.py
tests/test_trade_density.py,9481,2025-12-30T09:44:53.918320,.py
tests/test_openai_factory_hardening.py,8565,2026-01-03T03:20:42.277810,.py
tests/test_api.py,3702,2026-01-03T03:49:57.078208,.py
tests/test_smoke_test.py,2299,2026-01-03T04:38:01.343681,.py
tests/test_timeframes.py,2679,2025-12-30T09:44:53.918380,.py
tests/test_strategies.py,3189,2025-12-14T01:33:48.068200,.py
tests/test_paper_broker.py,2544,2025-12-14T01:33:48.068158,.py
tests/test_backtest_execution_metrics.py,6173,2025-12-30T09:44:53.952025,.py
tests/__pycache__/test_process_factory_scorer.cpython-311-pytest-9.0.2.pyc,8907,2026-01-03T03:54:14.672363,.pyc
tests/__pycache__/test_execution_diagnostics.cpython-311-pytest-9.0.2.pyc,27390,2025-12-30T10:58:31.936169,.pyc
tests/__pycache__/test_maker_execution.cpython-311-pytest-9.0.2.pyc,16195,2025-12-31T14:57:28.068041,.pyc
tests/__pycache__/test_truth_layer_invariants.cpython-311-pytest-9.0.2.pyc,33505,2026-01-03T03:54:14.867493,.pyc
tests/__pycache__/test_contracts.cpython-311-pytest-9.0.2.pyc,32472,2025-12-30T10:58:31.811532,.pyc
tests/__pycache__/test_execution_volatility_gating.cpython-311-pytest-9.0.2.pyc,17212,2025-12-30T10:58:31.953286,.pyc
tests/__pycache__/test_process_factory_schemas.cpython-311-pytest-9.0.2.pyc,16914,2026-01-03T03:54:14.660401,.pyc
tests/__pycache__/test_api.cpython-311-pytest-9.0.2.pyc,26582,2026-01-03T03:54:13.930208,.pyc
tests/__pycache__/test_no_trade_report.cpython-311-pytest-9.0.2.pyc,8886,2025-12-30T10:58:32.015884,.pyc
tests/__pycache__/test_capital_pressure.cpython-311-pytest-9.0.2.pyc,15975,2025-12-30T10:58:31.792065,.pyc
tests/__pycache__/test_api_e2e.cpython-311-pytest-9.0.2.pyc,9910,2026-01-03T03:54:14.390157,.pyc
tests/__pycache__/test_strategies.cpython-311-pytest-9.0.2.pyc,8693,2025-12-14T01:44:30.532172,.pyc
tests/__pycache__/test_risk.cpython-311-pytest-9.0.2.pyc,7509,2025-12-14T01:44:30.526013,.pyc
tests/__pycache__/test_strategy_accounting.cpython-311-pytest-9.0.2.pyc,15729,2025-12-31T14:57:28.104350,.pyc
tests/__pycache__/test_backtest.cpython-311-pytest-9.0.2.pyc,25242,2025-12-30T10:58:31.464333,.pyc
tests/__pycache__/test_edge_estimator.cpython-311-pytest-9.0.2.pyc,19099,2025-12-31T14:57:28.024786,.pyc
tests/__pycache__/test_regime.cpython-311-pytest-9.0.2.pyc,21372,2025-12-31T14:57:28.090150,.pyc
tests/__pycache__/test_process_factory_selector.cpython-311-pytest-9.0.2.pyc,10498,2026-01-03T03:54:14.680590,.pyc
tests/__pycache__/test_no_trade_fix.cpython-311-pytest-9.0.2.pyc,9322,2025-12-30T10:58:32.008712,.pyc
tests/__pycache__/test_trade_density.cpython-311-pytest-9.0.2.pyc,35900,2025-12-30T10:58:32.126070,.pyc
tests/__pycache__/test_impulse_improvements.cpython-311-pytest-9.0.2.pyc,16700,2025-12-14T02:52:11.813877,.pyc
tests/__pycache__/test_smoke_test.cpython-311-pytest-9.0.2.pyc,6425,2026-01-03T03:54:14.709885,.pyc
tests/__pycache__/test_adaptive_allocator.cpython-311-pytest-9.0.2.pyc,18886,2025-12-31T14:57:27.362985,.pyc
tests/__pycache__/test_openai_factory_hardening.cpython-311-pytest-9.0.2.pyc,15391,2026-01-03T03:54:14.638499,.pyc
tests/__pycache__/test_decision_memory.cpython-311-pytest-9.0.2.pyc,11118,2025-12-30T10:58:31.822946,.pyc
tests/__pycache__/test_backtest_execution_metrics.cpython-311-pytest-9.0.2.pyc,18925,2025-12-30T10:58:31.781757,.pyc
tests/__pycache__/test_streams_smoke.cpython-311-pytest-9.0.2.pyc,14012,2025-12-30T10:58:32.095986,.pyc
tests/__pycache__/test_trade_diagnostics.cpython-311-pytest-9.0.2.pyc,12379,2026-01-03T03:54:14.842565,.pyc
